DF2;1;2;3;4;5;6;7;8;9;10
1;39.86346;49.50000;53.59324;55.83296;57.24008;58.20442;58.90595;59.43898;59.85759;60.19498
2;8.52632;9.00000;9.16179;9.24342;9.29263;9.32553;9.34908;9.36677;9.38054;9.39157
3;5.53832;5.46238;5.39077;5.34264;5.30916;5.28473;5.26619;5.25167;5.24000;5.23041
4;4.54477;4.32456;4.19086;4.10725;4.05058;4.00975;3.97897;3.95494;3.93567;3.91988
5;4.06042;3.77972;3.61948;3.52020;3.45298;3.40451;3.36790;3.33928;3.31628;3.29740
6;3.77595;3.46330;3.28876;3.18076;3.10751;3.05455;3.01446;2.98304;2.95774;2.93693
7;3.58943;3.25744;3.07407;2.96053;2.88334;2.82739;2.78493;2.75158;2.72468;2.70251
8;3.45792;3.11312;2.92380;2.80643;2.72645;2.66833;2.62413;2.58935;2.56124;2.53804
9;3.36030;3.00645;2.81286;2.69268;2.61061;2.55086;2.50531;2.46941;2.44034;2.41632
10;3.28502;2.92447;2.72767;2.60534;2.52164;2.46058;2.41397;2.37715;2.34731;2.32260
11;3.22520;2.85951;2.66023;2.53619;2.45118;2.38907;2.34157;2.30400;2.27350;2.24823
12;3.17655;2.80680;2.60552;2.48010;2.39402;2.33102;2.28278;2.24457;2.21352;2.18776
13;3.13621;2.76317;2.56027;2.43371;2.34672;2.28298;2.23410;2.19535;2.16382;2.13763
14;3.10221;2.72647;2.52222;2.39469;2.30694;2.24256;2.19313;2.15390;2.12195;2.09540
15;3.07319;2.69517;2.48979;2.36143;2.27302;2.20808;2.15818;2.11853;2.08621;2.05932
16;3.04811;2.66817;2.46181;2.33274;2.24376;2.17833;2.12800;2.08798;2.05533;2.02815
17;3.02623;2.64464;2.43743;2.30775;2.21825;2.15239;2.10169;2.06134;2.02839;2.00094
18;3.00698;2.62395;2.41601;2.28577;2.19583;2.12958;2.07854;2.03789;2.00467;1.97698
19;2.98990;2.60561;2.39702;2.26630;2.17596;2.10936;2.05802;2.01710;1.98364;1.95573
20;2.97465;2.58925;2.38009;2.24893;2.15823;2.09132;2.03970;1.99853;1.96485;1.93674
21;2.96096;2.57457;2.36489;2.23334;2.14231;2.07512;2.02325;1.98186;1.94797;1.91967
22;2.94858;2.56131;2.35117;2.21927;2.12794;2.06050;2.00840;1.96680;1.93273;1.90425
23;2.93736;2.54929;2.33873;2.20651;2.11491;2.04723;1.99492;1.95312;1.91888;1.89025
24;2.92712;2.53833;2.32739;2.19488;2.10303;2.03513;1.98263;1.94066;1.90625;1.87748
25;2.91774;2.52831;2.31702;2.18424;2.09216;2.02406;1.97138;1.92925;1.89469;1.86578
26;2.90913;2.51910;2.30749;2.17447;2.08218;2.01389;1.96104;1.91876;1.88407;1.85503
27;2.90119;2.51061;2.29871;2.16546;2.07298;2.00452;1.95151;1.90909;1.87427;1.84511
28;2.89385;2.50276;2.29060;2.15714;2.06447;1.99585;1.94270;1.90014;1.86520;1.83593
29;2.88703;2.49548;2.28307;2.14941;2.05658;1.98781;1.93452;1.89184;1.85679;1.82741
30;2.88069;2.48872;2.27607;2.14223;2.04925;1.98033;1.92692;1.88412;1.84896;1.81949
